Territorio,Tipo de territorio,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barcelona,Municipi,165.74,168.92,173.80,176.31,177.14,174.49,171.82,168.12,164.73,164.71,164.79,161.79,160.22,159.80,160.04,159.70,159.61,161.10,161.43,161.12,159.68,159.45,159.79,161.03,163.46,167.49,168.63,170.89,175.07
Ciutat Vella,Districte,267.96,253.83,250.04,244.48,233.45,212.20,194.60,180.29,173.08,165.35,164.89,156.76,148.94,143.90,136.80,133.06,130.54,129.14,127.17,124.83,119.54,117.43,117.55,115.51,115.20,115.19,114.66,113.88,117.03
el Raval,Barri,258.40,242.14,236.89,231.30,219.93,191.23,173.18,160.20,152.62,141.68,140.38,128.11,119.15,113.23,105.23,100.83,97.52,94.79,93.56,91.57,87.31,85.43,85.79,83.39,82.72,82.78,83.18,82.76,83.19
el Barri Gòtic,Barri,300.23,278.80,270.89,258.57,244.61,219.46,195.49,176.96,164.47,154.83,160.80,169.04,173.40,174.14,168.30,166.76,164.12,165.06,166.08,159.70,154.16,149.11,141.12,138.74,137.38,134.58,121.52,117.81,129.21
la Barceloneta,Barri,247.03,242.76,243.05,248.78,239.83,230.76,222.77,211.48,216.00,220.05,215.35,205.17,199.11,198.98,192.81,197.24,201.61,203.35,210.06,207.35,205.70,202.44,212.12,213.57,218.26,223.32,223.13,216.17,225.88
"Sant Pere, Santa Caterina i la Ribera",Barri,282.35,268.49,267.11,256.76,247.18,237.84,219.63,203.99,194.90,189.74,187.98,180.26,167.59,160.29,157.77,152.64,151.31,153.78,144.65,144.90,137.95,138.69,139.58,139.26,141.43,141.51,148.57,152.01,157.06
Eixample,Districte,216.35,216.14,217.40,215.60,212.73,207.68,203.96,198.23,193.87,193.78,193.46,192.19,191.66,190.36,191.48,190.71,189.89,190.11,190.83,190.33,189.51,190.43,191.78,195.61,199.98,205.22,208.38,212.64,218.23
el Fort Pienc,Barri,180.34,185.99,188.00,186.99,182.54,181.64,176.46,176.51,170.34,169.79,171.75,168.32,167.80,166.57,168.41,171.05,169.40,170.27,173.46,175.03,173.11,173.41,175.06,175.74,184.10,188.43,187.58,193.48,201.42
la Sagrada Família,Barri,204.60,205.54,209.57,211.25,207.97,202.65,199.97,195.78,194.26,194.87,196.45,195.97,195.33,197.35,200.84,200.96,200.37,203.71,201.16,201.87,201.88,201.61,203.12,206.16,207.84,216.03,222.70,227.90,230.65
la Dreta de l'Eixample,Barri,250.72,240.15,232.51,220.32,215.18,209.70,201.47,190.06,185.81,185.00,181.33,178.61,180.10,175.49,175.51,173.00,172.71,168.55,168.02,166.62,165.06,167.82,171.76,176.53,181.13,184.46,187.45,192.08,196.67
l'Antiga Esquerra de l'Eixample,Barri,255.31,249.16,245.66,243.18,236.49,226.07,224.67,217.10,207.40,204.03,199.56,198.12,197.67,194.83,192.52,193.06,190.51,189.01,190.08,187.55,184.79,183.17,184.93,191.31,196.95,206.44,214.24,216.79,224.02
la Nova Esquerra de l'Eixample,Barri,175.85,179.49,185.79,187.89,190.50,186.60,186.48,183.80,181.91,184.76,187.90,189.68,189.36,189.62,193.14,193.05,194.29,198.45,201.56,202.63,203.32,206.51,208.09,213.24,217.05,220.80,224.23,225.50,231.94
Sant Antoni,Barri,260.74,261.44,261.97,259.88,256.95,252.53,245.36,234.73,229.56,228.36,226.43,223.40,220.07,218.24,217.28,211.70,209.50,207.11,207.53,204.39,204.89,204.55,200.56,202.24,204.85,207.22,204.72,211.67,216.52
Sants-Montjuïc,Districte,156.21,159.33,165.58,170.15,172.70,170.48,169.27,165.40,163.03,161.76,162.83,160.14,158.73,157.64,157.47,157.03,158.03,160.59,162.07,162.37,161.40,162.11,161.74,163.26,166.25,172.04,174.52,174.21,177.46
el Poble-sec,Barri,223.94,219.61,222.75,221.20,217.87,206.64,196.49,189.37,181.81,176.14,174.21,165.50,159.64,153.02,146.50,142.36,143.20,143.78,143.64,141.64,137.50,139.18,137.29,140.35,141.70,143.50,149.58,152.34,159.74
la Marina del Prat Vermell,Barri,78.18,83.21,81.47,86.51,90.84,96.45,108.30,122.78,142.11,147.15,152.22,147.75,148.84,149.71,157.23,163.09,150,155.26,157.34,139.24,134.81,137.11,133.54,138.75,122.99,96.61,88.24,73.84,54.73
la Marina de Port,Barri,90.77,95.50,102.27,107.48,111.29,113.77,116.37,115.38,115.11,115.03,117.26,117.79,118.29,122.64,122.78,123.75,125.11,129.75,131.60,132.13,134.40,136.62,138.10,142.29,148.26,156.56,161.98,166.04,173.75
la Font de la Guatlla,Barri,140.82,145,150.62,155.92,161.88,160.88,162.80,161.22,161.89,166.38,168.99,173.83,173.29,174.11,174.94,181.91,184.41,188.24,185.00,195.72,201.21,206.27,215.71,228.56,236.29,242.63,249.13,254.69,265.25
