Territorio,Tipo de territorio,Edad quinquenal,01 ene 1997,01 ene 1997,01 ene 1998,01 ene 1998,01 ene 1999,01 ene 1999,01 ene 2000,01 ene 2000,01 ene 2001,01 ene 2001,01 ene 2002,01 ene 2002,01 ene 2003,01 ene 2003,01 ene 2004,01 ene 2004,01 ene 2005,01 ene 2005,01 ene 2006,01 ene 2006,01 ene 2007,01 ene 2007,01 ene 2008,01 ene 2008,01 ene 2009,01 ene 2009,01 ene 2010,01 ene 2010,01 ene 2011,01 ene 2011,01 ene 2012,01 ene 2012,01 ene 2013,01 ene 2013,01 ene 2014,01 ene 2014,01 ene 2015,01 ene 2015,01 ene 2016,01 ene 2016,01 ene 2017,01 ene 2017,01 ene 2018,01 ene 2018,01 ene 2019,01 ene 2019,01 ene 2020,01 ene 2020,01 ene 2021,01 ene 2021,01 ene 2022,01 ene 2022,01 ene 2023,01 ene 2023,01 ene 2024,01 ene 2024,01 ene 2025,01 ene 2025
Territorio,Tipo de territorio,Edad quinquenal,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre,Mujer,Hombre
Barcelona,Municipi,<5 años,26838,28058,27709,29186,27804,29500,28152,29770,29026,30648,30149,31776,30996,32412,32026,33307,32631,34017,33067,34383,33389,34828,34007,35668,34561,36487,34601,36685,34507,36766,34361,36694,34318,36509,33702,35600,33610,35387,33396,35267,33563,35251,32997,34889,32723,34345,32046,33524,30130,31832,28686,30251,27923,29722,27470,29271,27105,28711
Barcelona,Municipi,5-9 años,26856,28187,27436,28808,27320,28692,27342,28530,27516,28649,28350,29696,28751,30257,28760,30511,29085,30670,29520,31165,29524,30957,30095,31380,31007,32139,31455,32744,31875,33087,32722,33961,32909,34542,33294,35193,33324,35285,33386,35464,33582,35810,33693,35832,33444,35393,33426,35326,33136,34687,32297,33956,32196,33931,32099,33864,31360,33099
Barcelona,Municipi,10-14 años,31736,33295,31020,32363,29973,31183,28976,30444,28234,29825,28793,30303,29316,30706,29531,30825,29377,30744,29381,30776,28896,30372,29042,30746,29117,30816,29347,31015,29722,31501,30175,31797,30485,32011,31011,32531,31440,33132,32040,33510,33080,34585,33363,35137,33938,35995,34098,36321,33910,36203,33377,35836,34032,36218,34215,36265,34561,36594
Barcelona,Municipi,15-19 años,43884,45790,41631,43794,39299,41249,37139,39086,35593,37295,35021,36058,33936,35024,33135,34188,32150,33649,31680,33350,31044,32697,31523,33205,31543,33612,31109,33110,31078,32922,31001,33199,30728,32786,30328,32496,30688,32783,31154,33480,32021,34074,32535,34583,33547,35734,34199,36620,34331,36234,34914,36402,35943,37817,37192,39428,37661,40166
Barcelona,Municipi,20-24 años,56980,59021,56449,58030,54479,56066,51948,53419,50321,51470,51161,52982,50519,52919,48524,49951,47264,48373,46295,46957,44779,44645,44263,44731,43798,44415,41396,42265,39943,41006,39663,40386,39079,39362,38119,38383,38098,38435,38866,38654,39726,39528,40470,39819,41411,41275,42575,43444,42054,43595,41451,42503,43969,44587,46748,47653,47586,49507
Barcelona,Municipi,25-29 años,54963,56373,56223,57768,57331,58824,57861,59572,60038,62252,64587,67878,67579,71853,68150,72089,68305,71829,68046,71350,65648,68139,66013,68606,66093,68431,63238,64193,60741,60942,59163,57896,56401,54123,53929,51189,52776,50318,53203,50340,55380,51612,57526,53429,59935,56341,61916,58992,61335,59208,59471,57315,62001,59190,65127,62923,67051,65687
Barcelona,Municipi,30-34 años,55363,53689,56869,55352,57021,55923,56678,55861,57857,58040,61627,63557,64342,68456,66660,70848,68821,73967,70854,77148,70224,75601,72192,78128,73651,79785,72318,77179,70763,74863,69966,73218,68368,69856,65797,65978,64276,63461,62318,61589,62418,60595,61470,59662,62834,61242,63722,63337,64543,65188,63804,64322,66918,66961,71172,71821,73599,75301
Barcelona,Municipi,35-39 años,53909,49801,55156,51236,55484,51802,56272,52923,57740,54796,60584,59454,62225,62426,62538,63718,62873,64969,63320,66437,62918,65843,64512,68455,66442,70634,67146,71169,68015,72176,69147,73228,69473,73078,69108,72308,68501,71509,67588,69577,66800,68377,65326,66263,64911,65779,64053,65036,62807,64196,60906,61881,60952,62130,63271,65238,65468,68401
Barcelona,Municipi,40-44 años,50370,45273,51559,46541,52537,47756,53950,49110,55215,50607,57734,53606,58828,55320,59335,56068,60150,57799,61121,59168,60935,59285,61713,60892,61944,62239,61177,61686,60985,61954,61505,62677,62090,63288,62728,63959,63949,65425,65006,66996,66228,67778,66250,67744,66540,68646,66242,67782,65285,66758,62888,64462,62032,63456,62313,63653,62328,64035
