Territori,Tipus de territori,Escenari,01 Gen. 2024,01 Gen. 2024,01 Gen. 2024,01 Gen. 2025,01 Gen. 2025,01 Gen. 2025,01 Gen. 2026,01 Gen. 2026,01 Gen. 2026,01 Gen. 2027,01 Gen. 2027,01 Gen. 2027,01 Gen. 2028,01 Gen. 2028,01 Gen. 2028,01 Gen. 2029,01 Gen. 2029,01 Gen. 2029,01 Gen. 2030,01 Gen. 2030,01 Gen. 2030,01 Gen. 2031,01 Gen. 2031,01 Gen. 2031,01 Gen. 2032,01 Gen. 2032,01 Gen. 2032,01 Gen. 2033,01 Gen. 2033,01 Gen. 2033,01 Gen. 2034,01 Gen. 2034,01 Gen. 2034,01 Gen. 2035,01 Gen. 2035,01 Gen. 2035,01 Gen. 2036,01 Gen. 2036,01 Gen. 2036,01 Gen. 2037,01 Gen. 2037,01 Gen. 2037,01 Gen. 2038,01 Gen. 2038,01 Gen. 2038,01 Gen. 2039,01 Gen. 2039,01 Gen. 2039,01 Gen. 2040,01 Gen. 2040,01 Gen. 2040,01 Gen. 2041,01 Gen. 2041,01 Gen. 2041,01 Gen. 2042,01 Gen. 2042,01 Gen. 2042,01 Gen. 2043,01 Gen. 2043,01 Gen. 2043,01 Gen. 2044,01 Gen. 2044,01 Gen. 2044
Territori,Tipus de territori,Escenari,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys,< 16 anys,16-64 anys,> 64 anys
Barcelona,Municipi,Baix,209476,1138630,355294,207024,1145984,355345,204570,1148081,355587,201738,1145754,355988,198710,1140966,357027,195635,1134615,358472,193050,1126322,361018,190384,1118744,363487,187903,1112512,365922,186033,1107034,368306,184604,1102095,370870,183905,1097362,373523,183830,1092545,376554,184087,1088025,379737,184418,1083744,383308,185173,1079444,387114,185127,1076297,391128,185347,1073424,395098,185804,1070991,398849,186317,1069283,402229,186903,1067913,405561
Barcelona,Municipi,Mitjà,209476,1138630,355294,207752,1150747,356591,206919,1162291,358300,206184,1171907,360210,205154,1176429,362674,204028,1177369,365469,203410,1175021,369341,202611,1171700,373073,202070,1168918,376749,202183,1166158,380369,202651,1163268,384167,203755,1159972,388056,205380,1156020,392326,207229,1151865,396762,209030,1147472,401601,211128,1142608,406687,212299,1138459,412000,213306,1134471,417271,214269,1130687,422321,215081,1127353,426993,215750,1124103,431610
Barcelona,Municipi,Alt,209476,1138630,355294,208232,1155266,357953,208030,1171902,360546,208140,1187875,363417,208485,1201463,366960,208970,1210786,370827,210031,1214234,375707,210873,1212471,380335,211911,1209348,384864,213520,1205205,389314,215567,1201207,393968,218238,1196965,398745,221399,1192214,403946,224760,1187401,409353,228040,1182493,415209,231585,1177235,421362,234187,1172793,427802,236324,1168893,434249,238405,1165296,440519,240245,1162659,446478,241752,1160429,452419
Ciutat Vella,Districte,Baix,11405,86929,12876,11717,88774,12924,11970,89846,12982,12152,90304,13040,12325,90395,13153,12505,90256,13291,12710,89993,13450,12925,89623,13747,13135,89474,13995,13376,89456,14228,13551,89595,14500,13783,89760,14801,14050,89998,15095,14280,90331,15416,14491,90663,15832,14693,91140,16178,14855,91754,16486,14888,92455,16890,14927,93210,17284,14959,93907,17784,14991,94730,18202
Ciutat Vella,Districte,Mitjà,11405,86929,12876,11794,89369,12984,12228,91631,13139,12646,93593,13307,13037,94855,13523,13421,95631,13759,13823,96115,14015,14213,96278,14405,14593,96560,14744,14997,96881,15068,15317,97274,15430,15678,97617,15822,16057,97962,16206,16381,98338,16619,16670,98653,17129,16934,99059,17569,17143,99546,17974,17188,100092,18475,17215,100652,18967,17217,101116,19568,17202,101669,20084
Ciutat Vella,Districte,Alt,11405,86929,12876,11840,89934,13087,12336,92833,13289,12840,95589,13517,13374,97988,13812,13919,99816,14129,14475,101025,14459,14997,101378,14910,15492,101611,15304,15996,101751,15680,16419,101999,16098,16879,102217,16549,17351,102456,16996,17765,102745,17475,18141,102990,18056,18489,103343,18573,18781,103790,19060,18887,104331,19648,18978,104897,20232,19040,105426,20934,19072,106077,21557
Eixample,Districte,Baix,28240,186899,59542,28401,188152,59422,28429,188525,59278,28383,187946,59260,28344,186929,59279,28258,185723,59294,28272,184213,59432,28178,182895,59569,28078,181953,59588,28085,181135,59588,28164,180374,59642,28234,179838,59634,28336,179316,59714,28471,178829,59832,28499,178540,59958,28496,178441,60010,28372,178453,60153,28126,178624,60328,27892,178873,60484,27646,179203,60637,27401,179579,60806
Eixample,Districte,Mitjà,28240,186899,59542,28527,189034,59639,28838,191161,59751,29153,192798,59996,29445,193508,60261,29669,193653,60508,29982,193244,60873,30155,192714,61225,30319,192410,61455,30584,192094,61665,30895,191712,61928,31171,191440,62129,31454,191077,62418,31748,190657,62747,31910,190346,63085,32019,190143,63351,31984,189970,63709,31762,189927,64099,31512,189908,64468,31226,189911,64832,30919,189902,65208
Eixample,Districte,Alt,28240,186899,59542,28607,189871,59882,29021,192939,60147,29473,195752,60557,29987,198139,61009,30461,199837,61440,31021,200500,61978,31414,200254,62482,31776,199882,62854,32215,199306,63204,32706,198713,63609,33156,198263,63959,33605,197748,64403,34059,197203,64896,34375,196794,65404,34633,196516,65848,34745,196288,66394,34625,196251,66980,34482,196255,67551,34297,196366,68129,34070,196515,68725
