Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,678,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,741,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,636,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,709,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,1784,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,1926,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,1438,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,1654,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,1134,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,1309,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,816,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,986,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,848,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,1233,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,1419,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,1943,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,1087,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,1280,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,1190,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,1480,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,1531,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,1858,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,982,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,1083,2
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,750,1
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,751,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,877,1
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,1020,2
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,1241,1
