Edad;Sexo;Renta anual neta media por persona y por unidad de consumo;Periodo;Total
Total;Ambos sexos;Renta neta media por persona;2025;15.620
Total;Ambos sexos;Renta neta media por persona;2024;14.807
Total;Ambos sexos;Renta neta media por persona;2023;14.082
Total;Ambos sexos;Renta neta media por persona;2022;13.008
Total;Ambos sexos;Renta neta media por persona;2021;12.269
Total;Ambos sexos;Renta neta media por persona;2020;12.292
Total;Ambos sexos;Renta neta media por persona;2019;11.680
Total;Ambos sexos;Renta neta media por persona;2018;11.412
Total;Ambos sexos;Renta neta media por persona;2017;11.074
Total;Ambos sexos;Renta neta media por persona;2016;10.708
Total;Ambos sexos;Renta neta media por persona;2015;10.419
Total;Ambos sexos;Renta neta media por persona;2014;10.391
Total;Ambos sexos;Renta neta media por persona;2013;10.531
Total;Ambos sexos;Renta neta media por persona;2012;10.795
Total;Ambos sexos;Renta neta media por persona;2011;10.858
Total;Ambos sexos;Renta neta media por persona;2010;11.284
Total;Ambos sexos;Renta neta media por persona;2009;11.318
Total;Ambos sexos;Renta neta media por persona;2008;10.737
Total;Ambos sexos;Renta media por unidad de consumo;2025;22.943
Total;Ambos sexos;Renta media por unidad de consumo;2024;21.759
Total;Ambos sexos;Renta media por unidad de consumo;2023;20.676
Total;Ambos sexos;Renta media por unidad de consumo;2022;19.160
Total;Ambos sexos;Renta media por unidad de consumo;2021;18.103
Total;Ambos sexos;Renta media por unidad de consumo;2020;18.116
Total;Ambos sexos;Renta media por unidad de consumo;2019;17.287
Total;Ambos sexos;Renta media por unidad de consumo;2018;16.937
Total;Ambos sexos;Renta media por unidad de consumo;2017;16.390
Total;Ambos sexos;Renta media por unidad de consumo;2016;15.842
Total;Ambos sexos;Renta media por unidad de consumo;2015;15.408
Total;Ambos sexos;Renta media por unidad de consumo;2014;15.405
Total;Ambos sexos;Renta media por unidad de consumo;2013;15.635
Total;Ambos sexos;Renta media por unidad de consumo;2012;16.119
Total;Ambos sexos;Renta media por unidad de consumo;2011;16.280
Total;Ambos sexos;Renta media por unidad de consumo;2010;16.922
