Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2024,1,Ciutat Vella,1,el Raval,1,1001,70
2024,1,Ciutat Vella,1,el Raval,1,1002,74
2024,1,Ciutat Vella,1,el Raval,2,1003,218
2024,1,Ciutat Vella,1,el Raval,2,1004,160
2024,1,Ciutat Vella,1,el Raval,3,1005,103
2024,1,Ciutat Vella,1,el Raval,3,1006,67
2024,1,Ciutat Vella,1,el Raval,3,1007,101
2024,1,Ciutat Vella,1,el Raval,4,1008,202
2024,1,Ciutat Vella,1,el Raval,4,1009,124
2024,1,Ciutat Vella,1,el Raval,4,1010,118
2024,1,Ciutat Vella,1,el Raval,5,1011,173
2024,1,Ciutat Vella,1,el Raval,5,1012,93
2024,1,Ciutat Vella,1,el Raval,5,1013,46
2024,1,Ciutat Vella,1,el Raval,6,1014,77
2024,1,Ciutat Vella,1,el Raval,6,1015,80
2024,1,Ciutat Vella,1,el Raval,6,1016,97
2024,1,Ciutat Vella,1,el Raval,6,1017,131
2024,1,Ciutat Vella,1,el Raval,7,1018,66
2024,1,Ciutat Vella,1,el Raval,7,1019,140
2024,1,Ciutat Vella,1,el Raval,7,1020,121
2024,1,Ciutat Vella,1,el Raval,8,1021,130
2024,1,Ciutat Vella,2,el Barri Gòtic,9,1022,113
2024,1,Ciutat Vella,2,el Barri Gòtic,9,1023,95
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1025,74
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1026,890
2024,1,Ciutat Vella,2,el Barri Gòtic,10,1027,126
2024,1,Ciutat Vella,2,el Barri Gòtic,11,1028,123
2024,1,Ciutat Vella,2,el Barri Gòtic,11,1029,97
2024,1,Ciutat Vella,2,el Barri Gòtic,12,1030,147
2024,1,Ciutat Vella,2,el Barri Gòtic,12,1031,122
2024,1,Ciutat Vella,3,la Barceloneta,13,1032,78
2024,1,Ciutat Vella,3,la Barceloneta,13,1033,68
2024,1,Ciutat Vella,3,la Barceloneta,13,1034,63
2024,1,Ciutat Vella,3,la Barceloneta,14,1035,74
2024,1,Ciutat Vella,3,la Barceloneta,14,1036,45
2024,1,Ciutat Vella,3,la Barceloneta,15,1037,65
2024,1,Ciutat Vella,3,la Barceloneta,15,1038,90
2024,1,Ciutat Vella,3,la Barceloneta,15,1039,60
2024,1,Ciutat Vella,3,la Barceloneta,15,1040,60
2024,1,Ciutat Vella,3,la Barceloneta,15,1041,87
2024,1,Ciutat Vella,3,la Barceloneta,15,1042,80
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,72
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,78
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,121
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,74
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,90
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,108
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,64
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,89
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,97
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,83
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,76
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,48
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,48
2024,2,Eixample,5,el Fort Pienc,20,2001,48
2024,2,Eixample,5,el Fort Pienc,20,2002,508
2024,2,Eixample,5,el Fort Pienc,20,2003,34
2024,2,Eixample,5,el Fort Pienc,20,2004,62
2024,2,Eixample,5,el Fort Pienc,20,2005,96
2024,2,Eixample,5,el Fort Pienc,20,2006,60
2024,2,Eixample,5,el Fort Pienc,20,2007,43
2024,2,Eixample,5,el Fort Pienc,20,2008,66
2024,2,Eixample,5,el Fort Pienc,20,2009,72
2024,2,Eixample,5,el Fort Pienc,21,2010,58
2024,2,Eixample,5,el Fort Pienc,21,2011,50
2024,2,Eixample,5,el Fort Pienc,21,2012,86
2024,2,Eixample,5,el Fort Pienc,21,2013,51
2024,2,Eixample,5,el Fort Pienc,22,2014,71
2024,2,Eixample,5,el Fort Pienc,22,2015,65
2024,2,Eixample,5,el Fort Pienc,22,2016,76
2024,2,Eixample,5,el Fort Pienc,22,2017,83
2024,2,Eixample,5,el Fort Pienc,22,2018,66
2024,2,Eixample,5,el Fort Pienc,22,2019,86
2024,2,Eixample,5,el Fort Pienc,22,2020,76
2024,2,Eixample,6,la Sagrada Família,23,2021,65
2024,2,Eixample,6,la Sagrada Família,23,2022,49
2024,2,Eixample,6,la Sagrada Família,23,2023,32
2024,2,Eixample,6,la Sagrada Família,23,2024,63
2024,2,Eixample,6,la Sagrada Família,24,2025,47
2024,2,Eixample,6,la Sagrada Família,24,2026,98
2024,2,Eixample,6,la Sagrada Família,24,2027,82
2024,2,Eixample,6,la Sagrada Família,24,2028,92
2024,2,Eixample,6,la Sagrada Família,24,2029,51
2024,2,Eixample,6,la Sagrada Família,24,2030,61
2024,2,Eixample,6,la Sagrada Família,24,2031,26
2024,2,Eixample,6,la Sagrada Família,24,2032,48
2024,2,Eixample,6,la Sagrada Família,25,2033,54
2024,2,Eixample,6,la Sagrada Família,25,2034,65
2024,2,Eixample,6,la Sagrada Família,25,2035,74
2024,2,Eixample,6,la Sagrada Família,25,2036,37
2024,2,Eixample,6,la Sagrada Família,25,2037,39
2024,2,Eixample,6,la Sagrada Família,25,2038,42
2024,2,Eixample,6,la Sagrada Família,25,2039,90
2024,2,Eixample,6,la Sagrada Família,25,2040,79
2024,2,Eixample,6,la Sagrada Família,26,2041,58
2024,2,Eixample,6,la Sagrada Família,26,2042,76
2024,2,Eixample,6,la Sagrada Família,26,2043,56
2024,2,Eixample,6,la Sagrada Família,26,2044,72
2024,2,Eixample,6,la Sagrada Família,26,2045,39
2024,2,Eixample,6,la Sagrada Família,26,2046,82
2024,2,Eixample,6,la Sagrada Família,26,2047,95
2024,2,Eixample,6,la Sagrada Família,26,2048,85
2024,2,Eixample,6,la Sagrada Família,27,2049,75
2024,2,Eixample,6,la Sagrada Família,27,2050,84
2024,2,Eixample,6,la Sagrada Família,27,2051,70
2024,2,Eixample,6,la Sagrada Família,27,2052,78
2024,2,Eixample,6,la Sagrada Família,27,2053,94
2024,2,Eixample,6,la Sagrada Família,27,2054,80
2024,2,Eixample,7,la Dreta de l'Eixample,28,2055,83
2024,2,Eixample,7,la Dreta de l'Eixample,28,2056,57
2024,2,Eixample,7,la Dreta de l'Eixample,28,2057,50
2024,2,Eixample,7,la Dreta de l'Eixample,28,2058,42
2024,2,Eixample,7,la Dreta de l'Eixample,28,2059,73
