row;col;r;c;value;status;ref
"Decil 1";"Total / menys de 16 anys";1;1;16,5;;2025
"Decil 1";"Total / de 16 a 39 anys";1;2;9,6;;2025
"Decil 1";"Total / de 40 a 64 anys";1;3;9,5;;2025
"Decil 1";"Total / 65 anys o més";1;4;7;;2025
"Decil 1";"Total / total";1;5;10,1;;2025
"Decil 2";"Total / menys de 16 anys";2;1;14,9;;2025
"Decil 2";"Total / de 16 a 39 anys";2;2;10,8;;2025
"Decil 2";"Total / de 40 a 64 anys";2;3;8,2;;2025
"Decil 2";"Total / 65 anys o més";2;4;8,2;;2025
"Decil 2";"Total / total";2;5;9,9;;2025
"Decil 3";"Total / menys de 16 anys";3;1;11,7;;2025
"Decil 3";"Total / de 16 a 39 anys";3;2;9,5;;2025
"Decil 3";"Total / de 40 a 64 anys";3;3;9,7;;2025
"Decil 3";"Total / 65 anys o més";3;4;11,2;;2025
"Decil 3";"Total / total";3;5;10,2;;2025
"Decil 4";"Total / menys de 16 anys";4;1;10,4;;2025
"Decil 4";"Total / de 16 a 39 anys";4;2;9,4;;2025
"Decil 4";"Total / de 40 a 64 anys";4;3;9,4;;2025
"Decil 4";"Total / 65 anys o més";4;4;10,5;;2025
"Decil 4";"Total / total";4;5;9,8;;2025
"Decil 5";"Total / menys de 16 anys";5;1;9,5;;2025
"Decil 5";"Total / de 16 a 39 anys";5;2;10,3;;2025
"Decil 5";"Total / de 40 a 64 anys";5;3;10,4;;2025
"Decil 5";"Total / 65 anys o més";5;4;9,2;;2025
"Decil 5";"Total / total";5;5;10;;2025
"Decil 6";"Total / menys de 16 anys";6;1;8,3;;2025
"Decil 6";"Total / de 16 a 39 anys";6;2;9,8;;2025
"Decil 6";"Total / de 40 a 64 anys";6;3;10,5;;2025
"Decil 6";"Total / 65 anys o més";6;4;10,7;;2025
"Decil 6";"Total / total";6;5;10;;2025
"Decil 7";"Total / menys de 16 anys";7;1;7,6;;2025
"Decil 7";"Total / de 16 a 39 anys";7;2;10,3;;2025
"Decil 7";"Total / de 40 a 64 anys";7;3;10,5;;2025
"Decil 7";"Total / 65 anys o més";7;4;10,3;;2025
"Decil 7";"Total / total";7;5;10;;2025
"Decil 8";"Total / menys de 16 anys";8;1;7;;2025
"Decil 8";"Total / de 16 a 39 anys";8;2;11,1;;2025
"Decil 8";"Total / de 40 a 64 anys";8;3;10,1;;2025
"Decil 8";"Total / 65 anys o més";8;4;10,5;;2025
"Decil 8";"Total / total";8;5;10;;2025
"Decil 9";"Total / menys de 16 anys";9;1;7,5;;2025
"Decil 9";"Total / de 16 a 39 anys";9;2;9,5;;2025
"Decil 9";"Total / de 40 a 64 anys";9;3;10,8;;2025
"Decil 9";"Total / 65 anys o més";9;4;11;;2025
"Decil 9";"Total / total";9;5;10;;2025
"Decil 10";"Total / menys de 16 anys";10;1;6,6;;2025
"Decil 10";"Total / de 16 a 39 anys";10;2;9,6;;2025
"Decil 10";"Total / de 40 a 64 anys";10;3;10,9;;2025
"Decil 10";"Total / 65 anys o més";10;4;11,4;;2025
"Decil 10";"Total / total";10;5;10;;2025
